ENTREPRISE;PROJET;THEMATIQUE;PAGE;VAGUE;LOCALISATION;MONTANT_PROJET;MONTANT_AIDE;REALISATION;ACTIVITE_ENTREPRISE;OBJECTIF_PROJET
aryballe technologies;neose f3;alimentation intelligente;101;1;;de;;Le projet se déroulera entre sep-;"Le projet NeOse F3 (NEw Olfactory SEnsor applied to Fermentation Flavor 
& Food) a pour objectif de développer un capteur pour le contrôle objectif 
de l’odeur relative aux aliments fermentés. Il s’agit d’évaluer l’empreinte 
gazeuse, qui chez l’Homme est évaluée grâce a son espace olfactif retro-
nasal.
L’analyse réalisée par le capteur s’appuie sur des nanotechnologies, 
l’optiques et des algorithmes valorisant  des bases de données spécifiques 
par process et/ou produit.  ";"Le projet est d’abord destiné aux industriels du secteur de produits fermentés, 
dans trois branches : yaourts, fromages, nouveaux produits fermentés. 
Il doit aboutir à deux familles de produits : d’abord, un instrument portable 
(NeOse F3) qui permet des analyses à toutes les phases de fabrication, puis 
sa technologie sera miniaturisée et adaptée pour développer un second 
capteur de contrôle en ligne de production (NeOse ProCess)."
atawey;frhyse;transport et mobilité durable;27;1;SAVOIE (73); 694 893 €; 311 802 €; 2018 - 2020;"Atawey conçoit, fabrique et commercialise des systèmes hydrogène dédiés à 
la transition énergétique dans les domaines des sites isolés et de la mobilité 
décarbonée.";"Le projet vise à développer un système de froid innovant pour optimiser les 
coûts et réduire l’empreinte énergétique d’une station Hydrogène à recharge 
rapide.
Le projet inclura la conception et la réalisation une station hydrogène d’une 
capacité de production de 20 kg par jour permettant d’intégrer ce système 
de froid et de faciliter le déploiement et le maillage des territoires.
La station sera conçue pour intégrer une capacité de stockage et une 
possibilité d’interconnexion avec les énergies renouvelables."
biodevas laboratoires;biobact;agriculture innovante;39;1;SARTHE (72); 758 885 €; 246 869 €; 2018 - 2021;"La société BIODEVAS Laboratoires a pour cœur de métier la formulation et 
la fabrication de solutions phytogéniques, composées d’actifs naturels, pour
améliorer la rentabilité des exploitations agricoles tout en diminuant 
l’utilisation d’intrants chimiques.";"Le projet vise à développer une solution innovante pour lutter contre la 
bactériose en arboriculture, et notamment contre la bactériose de l’olivier. 
Sous la forme d’un produit de biocontrôle, la solution développée permettra 
de substituer aux solutions actuelles de phytosanitaires à base de cuivre et 
d’aluminium, une solution éco-efficiente et 100% naturelle, à base d’extraits
de plantes, qui agira en perturbant le quorum sensing des bactéries."
biomede;seedextra;agriculture innovante;40;1;RHÔNE (69); 792 320 €; 356 544 €; 2018 - 2020;"Afin de répondre de manière naturelle aux problèmes posés par l’accumulation 
de métaux lourds dans le sol, BIOMEDE développe et commercialise des 
semences de plantes phytoextractrices des métaux lourds à destination du 
monde agricole, de l’agriculture urbaine, des collectivités et des entreprises
de la dépollution.";"L’objectif du projet SEEDEXTRA est d’optimiser les performances d’une 
plante hyperaccumulatrice du cuivre utilisée en phytoremédiation pour 
régénérer les sols agricoles.
En effet, l’usage de traitement à base de cuivre (type bouillie bordelaise) 
agréé en Agriculture Biologique a conduit à une accumulation du cuivre dans
les sols diminuant les performances des cultures, réduisant l’activité 
biologique du sol et impactant l’environnement et les terroirs.
Ce projet consiste à sélectionner une plante phytoextractrice et à 
biologiquement la stimuler pour diminuer la quantité de cuivre présente 
dans le sol et permettre une amélioration des rendements agricoles par des 
méthodes naturelles."
botify;botify ai;numérique;59;1;PARIS (75); 3 286 275 €;; 2018 - 2020;"Créée en 2010 et basée à Paris, Botify a profondément modifié les paradigmes 
et l’état de l’art du SEO (Search Engine Optimisation) depuis le lancement de 
son offre en 2013. ";"Botify, dont l’offre rencontre un succès massif à l’international, souhaite 
opérer une nouvelle disruption avec Botify AI, dont l’objectif est à la fois 
de démocratiser encore davantage le SEO mais aussi d’accompagner les 
évolutions des moteurs de recherche vers l’Intelligence artificielle. L’idée est 
de concevoir une nouvelle chaîne de valeur SEO fondée sur la Prédiction – 
Suggestion – Automatisation."
c4hydro;legio ez-auto;écosystèmes terrestres, aquatiques et marins;49;1;BOUCHES-DU-RHÔNE (13); 631 400 €; 273 239 €; 2018 - 2021;"C4Hydro est spécialisée dans la détection de microorganismes pathogènes 
dans l’eau. Sur la base d’une technologie brevetée, elle propose actuellement 
des solutions permettant de contrôler efficacement dans tous types d’eaux 
chaudes le risque sanitaire dû à Légionella pneumophila (bactérie pathogène 
à déclaration obligatoire et à l’origine de la légionellose).";"Le projet vise à améliorer la sécurité et la gestion des réseaux d’eau en 
proposant une solution, automatisée et connectée, de détection et de 
contrôle de Legionella pneumophila (bactérie pathogène à l’origine de la 
légionellose). Basé sur une technologie de rupture brevetée et validée sur 
des protocoles manuels, le dispositif offrira des performances inégalées en 
matière de fiabilité, précision, rapidité et facilitera les autocontrôles pour 
permettre une meilleure maitrise des risques sanitaires liés à la qualité de 
l’eau tout en réduisant la facture énergétique des établissements recevant 
du public et des habitations."
carbon bee agtech;ils;agriculture innovante;41;1;DRÔME (26); 789 700 €; 287 955 €; 2018 - 2021;"Carbon Bee AgTech délivre des outils innovants de détection précoce de 
maladie et d’adventices permettant d’anticiper et d’améliorer la qualité des 
productions agricoles.";"Le projet ILS (Intelligent Localized Spraying) a pour objectif la mise sur le
marché d’une solution de capteurs hyperspectraux et d’analyse par 
Intelligence Artificielle, installés sur la rampe de pulvérisateur, permettant 
d’identifier et discriminer les espèces végétales nuisibles (adventices), afin 
de piloter en temps réel une pulvérisation localisée.
Les objectifs économiques pour Carbon Bee AgTech sont de pouvoir équiper
le marché européen avec un modèle d’affaire reposant sur une logique de
service.
Les objectifs sociétaux et environnementaux sont d’accompagner avec une
solution pragmatique la réduction de solution désherbante sur les cultures
les plus répandues en Europe."
cycle farms;cycle seed;agriculture innovante;42;1;BEAUFORT-EN-ANJOU (49); 784 719 €; 351 421 €; 2018 - 2020;"Cycle Farms est une société spécialisée dans l’alimentation animale issue de
l’élevage d’insectes. Grâce à son centre de R&D français et son usine au 
Ghana, Cycle Farms commercialise ses produits auprès des pisciculteurs 
africains. En France, Cycle Farms propose de nouvelles technologies afin 
d’améliorer les rendements des productions d’insectes.";"Après avoir achevé une première phase importante de son développement, 
en adaptant des produits aux marchés visés, Cycle Farms relève un nouveau
défi : se positionner en amont des productions, et développer des solutions 
efficaces pour améliorer la rentabilité économique des élevages d’insectes. 
Avec CYCLE SEED, la société proposera six nouveaux consommables, 
développés et produits sur le sol français, capables de résoudre des 
problématiques techniques rencontrées par les hommes du métier. En 
améliorant significativement les rendements des productions, Cycle Farms 
contribuera en amont des chaines de valeur, et apportera une meilleure 
rentabilité aux producteurs d’insectes du monde entier."
cythelia energy;asuite-pv-bim;énergies renouvelables, stockage et systèmes énergétiques;8;1;SAVOIE (73); 761 862 €; 262 907 €; 2018 - 2020;"Entreprise pionnière dans le secteur photovoltaïque depuis 1994, Cythelia 
Energy opère deux activités complémentaires, Bureau d’études et Editeur de
logiciels (suite Archelios), en couvrant l’ensemble du cycle de vie des projets
photovoltaïques.";"L’objectif du projet est d’organiser la suite logicielle archelios, dédiée aux 
métiers du photovoltaïque, autour d’une maquette numérique unique PVBIM
(Building Information Model/Modeling/Management) de Niveau 3.
La maquette numérique PV-BIM contribue sensiblement à l’amélioration 
de la compétitivité de l’électricité photovoltaïque en permettant d’optimiser 
la gestion sur la totalité du cycle de vie de l’ensemble des données d’une 
installation et en particulier la conception et le dimensionnement, les 
phases de construction, déconstruction et repowering, le monitoring et la 
maintenance.
thelia Energy"
deepki;stase2;énergies renouvelables, stockage et systèmes énergétiques;9;1;PARIS (75);1 750 000 €; 648 138 €; 2018 - 2020;"Deepki est une jeune entreprise de haute technologie, positionnée sur le 
marché de la Transition énergétique, qui utilise la puissance des statistiques 
et de leur analyse informatisée s’appuyant notamment sur des techniques 
d’apprentissage automatisé (machine learning) pour transformer les 
données existantes de ses clients en plan d’action d’Efficacité Énergétique.";"Dans un contexte où Enedis vient de mettre à disposition des acteurs de la 
transition énergétique une plate-forme open data permettant d’accéder aux
données collectées par quelques 500 000 compteurs intelligents, le projet 
STASE² vise à développer de nouvelles techniques d’analyse descriptive, 
diagnostique, prédictive et prescriptive en vue d’augmenter radicalement les 
performances de la solution Deepki Ready, notamment en termes de plans 
d’action d’Efficacité Énergétique."
dibotics;beyond-lidar;transport et mobilité durable;28;1;"ÎLE-DE-FRANCE 
(75)"; 798 768 €; 359 446 €; 2018 - 2019;"DIBOTICS est spécialisée dans le traitement en temps-réel des données 
issues de capteurs de type LiDAR, permettant à tout robot mobile, dont la 
voiture autonome, de comprendre son environnement.";"Le marché automobile est pratiquement unanime sur le fait que les capteurs 
LiDARs (Lasers permettant une mesure 3D de l’environnement) sont un 
composant clé de la voiture autonome. Paradoxalement, l’unanimité est aussi 
totale sur le fait que les solutions LiDAR actuelles sont structurellement 
limitées et que les logiciels permettant le traitement efficace de ce nouveau 
type de données n’existent pas.
Le projet R&D « Beyond-LiDAR » résout ces deux paradoxes et va même 
bien au-delà."
diimotion;dodi;agriculture innovante;43;1;PYRÉNÉES-ATLANTIQUES (64); 637 800 €; 262 080 €; 2018 - 2019;"Diimotion est une Start-up développant le PiiX, une technologie d’injection 
directe des produits phytosanitaires pour la pulvérisation agricole et viticole.
Le PiiX permet de réguler les doses et/ou les produits en quasi temps réel 
pour des économies de 30 à 80 % de produits (modulation, application 
localisée).";"Le projet DODI consiste à développer un pulvérisateur avec injection directe 
des produits phytosanitaires pour le traitement des petites parcelles 
agricoles.
Ce pulvérisateur permet de réduire de 25% les doses et les effluents de 
rinçage, de 30% le temps d’intervention et de 80% l’exposition aux produits. 
DODI (« DOsage DIrect ») s’adresse principalement au secteur du maraîchage."
dna script;synvec;santé;81;1;PARIS (75); 5 000 000;; 2018 - 2021;"DNA Script développe un procédé de synthèse enzymatique de synthèse 
d’acides nucléiques sans brin matrice. Ce procédé est de plusieurs ordre de 
grandeurs plus rapide et plus efficace que les technologies actuelles, et a 
le potentiel d’accélérer considérablement le développement de nouveaux 
produits dans les sciences de la vie.";"Le projet SynVec a pour objectif de développer un pilote pré-industriel 
de production de plasmides totalement synthétiques pour la recherche 
pharmaceutique. En évitant de passer par une étape d’amplification in 
vivo, le procédé développé par DNA Script a pour ambition d’être beaucoup 
plus rapide, et de faciliter la disponibilité de plasmides de grade clinique. 
Ces aspects sont essentiels pour accélérer le développement de thérapies 
géniques et cellulaires ; dans le cas de la production en routine de traitements 
personnalisés, le procédé développé au sein du projet SynVec permettra de 
réduire les temps d’accès aux médicaments."
dualsun;dualfab;énergies renouvelables, stockage et systèmes énergétiques;10;1;"BOUCHES-DU-
RHÔNE (13)"; 792 685 €; 333 758 €; 2018 - 2020;"DualSun développe et commercialise un panneau solaire hybride de nouvelle
génération qui fournit à la fois de l’électricité photovoltaïque et de l’énergie 
thermique avec un rendement optimal - jusqu’à trois fois supérieur par 
rapport aux solutions photovoltaïques standards du marché.";"Grâce au projet DualPlas (financé par le FUI), la société DualSun a pu mettre
au point un module PVT hybride qui génère 3 fois plus d’énergie qu’un 
panneau solaire photovoltaïque classique, avec un concept en polymère 
technique permettant d’être compétitif face à la décroissance rapide des 
coûts en solaire photovoltaïque. L’innovation est supportée par 3 brevets 
internationaux, et l’enjeu est désormais de résoudre les problématiques de 
production à grande échelle par la mise en place d’une ligne pilote inédite et 
à la hauteur des enjeux du numérique industriel."
ebike labs;ebike brain;transport et mobilité durable;29;1;ISÈRE (38);1 746 016 €; 764 748 €; 2018 - 2020;"eBikeLabs conçoit, développe et commercialise des systèmes de propulsion 
pour vélo à assistance électrique innovants et interactifs. La solution 
développée est un cerveau électronique pour les vélos électriques. Le 
système moteur n’est plus seulement un simple organe de propulsion mais 
se transforme en un véritable système moteur interactif.";"Le marché du VAE (Vélo à assistance électrique) et celui du vélo partagé sont 
en plein essor. eBikeLabs, une start-up grenobloise jeune et dynamique 
possède une technologie innovante, basée sur un couple original hardware/
software basé sur des algorithmes mathématiques puissants. Le projet 
eBikeBrain vise à diminuer significativement le coût de revient du VAE 
(optimisation de la maintenance, suppression de pièces coûteuses, 
optimisation de la durée de vie de la batterie…) et d’adresser par des solutions 
originales les derniers freins au déploiement massif du VAE, notamment 
dans le cadre de flottes mutualisées en milieu urbain."
enerbee;little bee;énergies renouvelables, stockage et systèmes énergétiques;11;1;"GRENOBLE,  
ISÈRE (38)";2 184 197 €; 795 744 €; 2018 - 2020;"Société grenobloise créée en mars 2014, EnerBee développe et commercialise
des capteurs complètement autonomes connectés et intelligents pour le 
secteur du bâtiment et de l’industrie. Ses solutions autonomes en énergie, 
reposent sur sa technologie innovante et unique de génération d’électricité à
partir d’un mouvement quelconque, pouvant être très lent voire même 
irrégulier.";"Ce projet s’inscrit dans la stratégie d’EnerBee d’accélérer le développement
et la mise sur le marché de micro sources d’énergie renouvelable pour les 
objets connectés. EnerBee propose des produits basés sur une alimentation
d’énergie renouvelable là où le câblage ou l’utilisation de batteries, soit est 
inapproprié par rapport à l’usage ou l’environnement, soit induit des coûts de
maintenance prohibitifs. Ce projet propose une solution d’objet connecté, 
autonome, de la taille d’un bouton de chemise, compétitive économiquement,
et destinée à de multiples usages.
e"
energies demain;atac;énergies renouvelables, stockage et systèmes énergétiques;12;1;"DÉVELOPPEMENT : PARIS (75)
APPLICATION : FRANCE ENTIÈRE"; 790 760 €; 357 192 €; 2018 - 2020;"Energies Demain est un bureau d’études spécialisé dans la mise en œuvre 
opérationnelle des politiques publiques de transition énergétique. Depuis 
plus de 10 ans, la société développe de nombreux modèles et solutions 
numériques adapté aux défis et contraintes de l’énergie.";"Le projet ATAC vise à développer et mettre à disposition une solution web 
permettant l’identification territoriale de sites propices à l’autoconsommation
collective.
Le repérage des sites se fera par assemblage de consommateurs variés 
(tertiaire et résidentiel) et des zones de production photovoltaïques diverses
(toits, ombrières, friches...) afin de pallier au défaut principal actuel des 
projets d’autoconsommation : la faible quantité d’énergie autoconsommée. 
Cette solution permettra aux acteurs publics et privés de la filière d’obtenir 
très rapidement les emplacements économiquement pertinents de projets 
d’autoconsommation collective pour un territoire donné."
entech-se;csv;énergies renouvelables, stockage et systèmes énergétiques;13;1;QUIMPERT (29); 788 180 €; 343 341 €; 2018 - 2019;"ENTECH-SE développe et commercialise des solutions de gestion de l’énergie 
électrique basées sur les architectures de conversion et pilotage, grâce à ses 
activités de R&D de solutions d’électronique de puissance, d’électronique 
embarquée, de systèmes de supervision via le développement d’algorithmes
et le dimensionnement énergétique lié aux smartgrids.";"Le projet CSV présente une solution performante et économiquement viable
pour la 2nde vie des batteries de véhicules électriques (VE), dont la capacité 
de stockage est encore <70% lorsqu’elles sont retirées des VE. Il permet 
d’optimiser la durée d’utilisation des batteries de véhicules électriques de 
100 % en favorisant l’émergence durable des véhicules électriques et des 
énergies intermittentes. En réalisant un démonstrateur opérationnel puis 
des systèmes série, le CSV va permettre l’utilisation annuelle de plusieurs 
dizaines de milliers de batteries en seconde vie en stockage stationnaire 
à destination du smart-grid et de ses services en fournissant une énergie 
de stockage à moins de 0,09 €/kWh. Il sera raccordable à des réseaux 
continentaux, pour améliorer la qualité du service et l’autoconsommation 
comme à des réseaux ilôtés ou fortement perturbés, pour favoriser l’accès 
à la continuité de service."
ets dubrulle;2018cropv;agriculture innovante;44;1;NORD (59); 1 361 121 €; 417 404 €; 2018 - 2020;"La société conçoit et fabrique des solutions de manutention, de déterrage, 
de calibrage et de stockage pour les pommes de terre, oignons et autres 
productions légumineuses.";"Créer une machine de tri des légumes après récolte et avant mise en stock 
ou expédition en usine, entièrement automatisée, permettant de supprimer 
tous les corps étrangers (mottes, cailloux, verre…) et les légumes de 
mauvaise qualité (vertes, coupés, gâtés…), mais également de récupérer les 
données sur la taille et la qualité des légumes afin d’identifier physiquement 
les lots.
Ce concept permettra :
• d’accroître la productivité et la rentabilité de l’exploitation,
• d’améliorer la pénibilité au travail,
• d’impacter positivement les coûts de transport et de stockage,
• d’économiser l’énergie nécessaire à la conservation des légumes,
• et de diminuer les déchets générés chez les industriels."
euveka;bem;numérique;60;1;"VALENCE (26) 
DRÔME";;; 2011 - 2018;"Spécialisés dans les technologies robotiques liées à la morphologie et 
au biomimétisme, nous avons mis au point la nouvelle génération des 
mannequins de bois. Ce mannequin-robot évolutif et connecté, piloté par un 
logiciel dédié, aidera les professionnels du textile à créer, produire et vendre 
des vêtements à la taille exacte.";"Notre objectif à court terme est de permettre aux industries textiles de 
diminuer le temps de prototypage et le nombre de prototype d’un vêtement 
par deux. Nous souhaitons également réduire le gaspillage textile afin de 
produire plus éthiquement. 
Notre objectif au long terme est de permettre aux professionnels de mieux 
cibler leur marché, en acquérant notre solution ils pourront récupérer les 
données morphologiques de leurs clients. 
Cet avantage concurrentiel permettra de réduire les invendus et de produire 
des vêtements qui tailleront d’emblée beaucoup mieux à un marché adressé.
stagram du photographe : @sp.nk"
everysens;omnitrack;transport et mobilité durable;30;1;NORD (59); 779 100 €; 350 595 €; 2018 - 2019;"Everysens se donne pour mission d’organiser la tranquillité logistique des 
chargeurs et autres utilisateurs de supply chain complexes. L’entreprise 
propose à ces acteurs industriels une solution logicielle dédiée et innovante 
de gestion de parc et de flux, en exploitant les technologies de l’Internet des 
objets et du Big Data.";"Expert dans la traçabilité et l’optimisation du fret ferroviaire, Everysens 
souhaite offrir à ses clients la possibilité de suivre leurs flux multimodaux 
via l’intégration de multiples données capteurs (remorques, wagons, 
containers) et logiciels (TMS, WMS, ERP etc.) au sein de sa solution logicielle 
interopérable. L’information métier consolidée sur un cas d’usage dédié, 
réduit l’incertitude liée aux opérations, garantit son exploitation optimale 
et constitue la première étape vers une rentabilité accrue et une meilleure 
qualité de service."
expliseat;aerorail;transport et mobilité durable;31;1;ÎLE-DE-FRANCE (75);4 231 163 €; 1 772 226 €; 2018 - 2021;"Expliseat a conçu le premier siège d’avion certifié avec une structure en 
composite. Deux à trois fois plus léger que ses concurrents, son siège permet 
aux compagnies aériennes d’économiser du carburant, de transporter plus 
de passager et de réduire leurs émissions de CO2.";"L’objectif du projet est d’adapter le siège d’avion ultraléger d’Expliseat aux 
trains à grande vitesse et aux trains urbains. Le gain de masse permettra 
d’améliorer la performance des trains en leur permettant consommer moins 
d’électricité, de transporter plus de passagers, de réduire l’usure des rails et 
les émissions de particules fines lors des freinages.
Pour y arriver, Expliseat mettra à profit son expérience aéronautique pour 
développer les nouvelles technologies composites adaptées aux contraintes 
technico-économiques du ferroviaire."
